id,sentiment,text_tweet
1,negative,jelek film si ernest gak mutu bgt actingnya film sampah
2,negative,film king arthur film jelek cerita king arthur
3,negative,beexkuanlin film gwa kasar bapak
4,negative,ane ga suka fast and furiousmenurutku jelek ya tu film
5,negative,baekhyun36 gua ga tau film nya lu bilang perang perang perang ama rp yaoi ambigu v
6,negative,tolong editingnya yg bagus ya kecewa dgn film indonesia tunggu film
7,negative,kecewa dgn salah aktor yg dukung nista agama ah sabar utk tonton film
8,negative,kecewa parah film the guys dear radityadika sorry to say this
9,negative,yg kecewa abis nonton film
10,negative,themummy 2017 film memgecewakan hidup yah sy udh berekspektasi suka bgt mesir kuno
11,negative,film jelek ga isi
12,negative,nonton film indonesia bioskop kartini critical eleven gambar kartini ale anya lemah
13,negative,nonton film kartini miris jaman jaman bangsa bodoh serakah gila kawin ironis celotehpagi
14,negative,btw danur jelek banget gausah tonton hans hansdavidian gue bayang lo meantweets film ntar lol
15,negative,film kartini trlalu singkat tonton yg blm baca biografi ttg kartini bingung sndiri emg blm baca bukuny
16,negative,habis nonton the guys kecewa nonton film banding film anjlok ya
17,negative,udah nonton film alien kecewa ya ragu nonton
18,negative,satusatunya rugi nonton film action aktor liat jelek p
19,negative,film bilang baguskelompoknya doang kasih harga dia2 aj nonton jelek
20,negative,sudah hidup singkat dihabisken tonton film jelek
21,negative,film king arthur jelek bagus cenderung mudah lupa
22,negative,jelek ah jelek film dimension rilis akting ga
23,negative,duh film ribet banget
24,negative,dgn durasi film yg tll alur yg datar stlh criticaleleven selesai sy dgn sih
25,negative,adegan potong rusak film
26,negative,selesai nonton film goal 3 turun kualitas film nya drastis parah
27,negative,ingat film beda buku bikin kecewa teman ngajak nonton black bulter
28,negative,ogah nonton kecewa ama film
29,negative,kecewa berat film power rangers bawah ekspektasi banget
30,negative,bahas film angkat novel kalo bikin film puas aja gitu
31,negative,sebenernya nggak salah akting prilly film danur oke oke aja greget cerita sih kuat
32,negative,abis nonton film balap2 mobil tidur 15 menit lelah bosan
33,negative,the mummy film yg aneh tengah film mummy
34,negative,aneh film besut marvel ga postcredit scene nya kaya film yg habis tonton log
35,negative,film norak
36,negative,film critical eleven rusak image ale anya kepala
37,negative,factrica suka filmfilm romantis endingnya jadi
38,negative,balik novel angkat film sesungguhny campur tangan produser sok tau embel2 jual
39,negative,ga respect laku si dian sastro film hambar ga mutu
40,negative,sebnarnya film lumyan bgussayangnya aktor n aktris rusia film trsa hambar
41,negative,kalo nol bikin film gak perempuan seksi bumbu cinta hambar
42,negative,1 insidious 2010 creepy bikin tegang film datar pengaruh
43,negative,gue nonton film homo aja rumit bener
44,negative,sayang banget film lokal bagus budgetnya layar tonton batas banget sayang banget
45,negative,film nonton nya bikin gue derita
46,negative,gue nonton the mummy bilang film nya bagus bioskop sesal
